ID,Orig_ON,Orig_FROM,Orig_TO,On,From,To
81,E. 109th St. (10900S),S. Burley Ave. (3234E),S. Avenue F (3832E),109TH ST,BURLEY AVE,AVENUE F  
82,S. Kilpatrick Ave. (4700W),W. Lake St. (200N),W. Van Buren St. (400S),KILPATRICK AVE,LAKE ST,VAN BUREN ST
83,W. 14th St. (1400S),S. Damen Ave. (2000W),S. Wood St. (1800W),14TH ST,DAMEN AVE,WOOD ST
84,S. Langley Ave. (700E),E. 87th St. (8700S),E. 93rd St. (9300S),LANGLEY AVE,87TH ST,93RD ST
85,W. 53rd St. (5300S),S. Natoma Ave. (6600W),S. Central Ave. (5600W),53RD ST,NATOMA AVE,CENTRAL AVE
86,E. 91st St. (9100S),S. Harper Ave. (1501E),S. Jeffery Ave. (2000E),91ST ST,HARPER AVE,JEFFERY AVE
87,W. Roscoe St. (3400N),N. Kedzie Ave. (3200W),N. Elston Ave. (3000W),ROSCOE ST,KEDZIE AVE,ELSTON AVE
88,W. Wilson Ave. (4600N),N. Hamlin Ave. (3800W),N. Kimball Ave. (3400W),WILSON AVE,HAMLIN AVE,KIMBALL AVE
89,W. Sunnyside Ave. (4500N),N. St. Louis Ave. (3500W),N. Bernard St. (3434W),SUNNYSIDE AVE,ST LOUIS AVE,BERNARD ST
90,N. Meade Ave. (6100W),W. Irving Pk. Rd. (4000N),W. Addison St. (3600N),MEADE AVE,IRVING PARK RD,ADDISON ST
91,E. 56th St. (5600S),S. Woodlawn Ave. (1200E),S. Kenwood Ave. (1332E),56TH ST,WOODLAWN AVE,KENWOOD AVE
92,E. 57th St. (5700S),S. State St. (0E),S. Martin Luther King Jr. Dr. (400E),57TH ST,STATE ST,DR MARTIN LUTHER KING JR DR
93,W. 24th St. (2400S),S. Homan Ave. (3400W),S. Marshall Blvd. (2900W),24TH ST,HOMAN AVE,MARSHALL BLVD
94,W. Dickens Ave. (2100N),N. Harlem Ave. (7200W),N. Newland Ave. (6932W),DICKENS AVE,HARLEM AVE,NEWLAND AVE
95,S. Springfield Ave. (3900W),W. 61st Pl. (6132S),W. 64th Pl. (6432S),SPRINGFIELD AVE,61ST PL,64TH PL
96,E. 84th St. (8400S),S. State St. (0E),S. Drexel Ave. (900E),84TH ST,STATE ST,DREXEL AVE
97,W. Roscoe St. (3400N),N. Osage Ave. (7932W),N. Harlem Ave. (7200W),ROSCOE ST,OSAGE AVE,HARLEM AVE
98,W. 92nd St. (9200S),S. Ashland Ave. (1600W),S. Throop St. (1300W),92ND ST,ASHLAND AVE,THROOP ST
99,E. 88th St. (8800S),S. Clyde Ave. (2100E),S. Oglesby Ave. (2332E),88TH ST,CLYDE AVE,OGLESBY AVE
100,W. 90th St. (9000S),S. Western Ave. (2400W),S. Hamilton Ave. (2132W),90TH ST,WESTERN AVE,HAMILTON AVE
101,W. 44th St. (4400S),S. Cicero Ave. (4800W),S. Dead End (4632W),44TH ST,CICERO AVE,KOLMAR AVE
102,W. 109th St. (10900S),S. Halsted St. (800W),S. Parnell Ave. (532W),109TH ST,HALSTED ST,PARNELL AVE
103,W. 81st St. (8100S),S. Homan Ave. (3400W),S. Kedzie Ave. (3200W),81ST ST,HOMAN AVE,KEDZIE AVE
104,E. 89th St. (8900S),S. South Chicago Ave. (2600E),S. Baltimore Ave. (3058E),89TH ST,SOUTH CHICAGO AVE,BALTIMORE AVE
105,W. 68th St. (6800S),S. Western Ave. (2400W),S. Hoyne Ave. (2100W),68TH ST,WESTERN AVE,HOYNE AVE
106,W. Rosemont Ave. (6300N),N. Harding Ave. (3932W),N. Drake Ave. (3532W),ROSEMONT AVE,HARDING AVE,DRAKE AVE
107,N. Marmora Ave. (5900W),W. Grace St. (3800N),W. Addison St. (3600N),MARMORA AVE,GRACE ST,ADDISON ST
108,E. 85th St. (8500S),S. Cregier Ave. (1800E),S. South Chicago Ave. (2200E),85TH ST,CREGIER AVE,SOUTH CHICAGO AVE
109,W. 60th St. (6000S),S. Racine Ave. (1200W),S. Morgan St. (1000W),60TH ST,RACINE AVE,MORGAN ST
110,W. 46th St. (4600S),S. California Ave. (2800W),S. Western Ave. (2400W),46TH ST,CALIFORNIA AVE,WESTERN AVE
111,W. 19th St. (1900S),S. Kedzie Ave. (3200W),S. California Ave. (2800W),19TH ST,KEDZIE AVE,CALIFORNIA AVE
112,E. 82nd St. (8200S),S. Exchange Ave. (2932E),S. Brandon Ave. (3200E),82ND ST,EXCHANGE AVE,BRANDON AVE
113,E. 48th St. (4800S),S. Michigan Ave. (100E),S. Forrestville Ave. (532E),48TH ST,MICHIGAN AVE,FORRESTVILLE AVE
114,W. Van Buren St. (400S),S. Sacramento Ave. (3000W),S. Western Ave. (2400W),VAN BUREN ST,SACRAMENTO AVE,WESTERN AVE
115,W. Wellington Ave. (3000N),N. Major Ave. (5700W),N. Long Ave. (5400W),WELLINGTON AVE,MAJOR AVE,LONG AVE
116,S. Springfield Ave. (3900W),W. 75th Pl. (7532S),W. 79th St. (7900S),SPRINGFIELD AVE,75TH PL,79TH ST
117,E. 84th St. (8400S),S. Merrill Ave. (2132E),S. Baltimore Ave. (2900E),84TH ST,MERRILL AVE,BALTIMORE AVE
118,W. Carmen Ave. (5100N),N. Austin Ave. (6000W),N. Parkside Ave. (5632W),CARMEN AVE,AUSTIN AVE,PARKSIDE AVE
119,W. Carmen Ave. (5100N),N. Harlem Ave. (7200W),N. Merrimac Ave. (6234W),CARMEN AVE,HARLEM AVE,MERRIMAC AVE
120,W. Argyle St. (5000N),N. Harlem Ave. (7200W),N. Mobile Ave. (6300W),ARGYLE ST,HARLEM AVE,MOBILE AVE
121,W. Strong St. (4932N),N. Harlem Ave. (7200W),N. Menard Ave. (5800W),STRONG ST,HARLEM AVE,MENARD AVE
122,S. Leamington Ave.. (5132W),W. Madison St. (0N),W. Harrison St. (600S),LEAMINGTON AVE,MADISON ST,HARRISON ST
123,W. 50th St. (5000S),S. Kilbourn Ave. (4500W),S. Pulaski Rd. (4000W),50TH ST,KILBOURN AVE,PULASKI RD
124,W. 33rd St. (3300S),S. Western Ave. (2400W),S. Damen Ave. (2000W),33RD ST,WESTERN AVE,DAMEN AVE
125,E. 133rd Pl. (13332S),S. Langley Ave. (700E),S. Greenwood Ave. (1100E),133RD PL,LANGLEY AVE,GREENWOOD AVE
126,E. 89th St. (8900S),S. Dead End (1308E),S. Anthony Ave. (2400E),89TH ST,WOODLAWN AVE,ANTHONY AVE
127,E. 88th St. (8800S),S. Dead End (1240E),S. Jeffery Ave. (2000E),88TH ST,GREENWOOD AVE,JEFFERY AVE
