ID,Orig_ON,Orig_FROM,Orig_TO,On,From,To
172,W. 97th St. (9700S),S. Vincennes Ave. (1132W),S. Parnell Ave. (524W),97TH ST,VINCENNES AVE,PARNELL AVE
173,W. 42nd St. (4200S),S. Richmond St. (2932W),S. Western Ave. (2400W),42ND ST,RICHMOND ST,WESTERN AVE
174,W. 50th St. (5000S),. Dead end (W),S. Laramie Ave. (5200W),50TH ST,KOLMAR AVE,LARAMIE AVE
175,S. Ellis Ave. (954E),E. 36th St. (3600S),E. Pershing Rd. (3900S),ELLIS AVE,36TH ST,PERSHING RD
176,W. 60th St. (6000S),S. Menard Ave. (5800W),S. Central Ave. (5600W),60TH ST,MENARD AVE,CENTRAL AVE
177,S. Throop St. (1300W),W. 95th St. (9500S),W. 99th St. (9900S),THROOP ST,95TH ST,99TH ST
178,W. Hollywood Ave. (5700N),N. California Ave. (2800W),. Dead end (),HOLLYWOOD AVE,CALIFORNIA AVE,JERSEY AVE
179,S. Normandy Ave. (6700W),W. 63rd St. (6300S),W. 65th St. (6500S),NORMANDY AVE,63RD ST,65TH ST
180,N. Washtenaw Ave. (2700W),W. Howard St. (7600N),W. Pratt Blvd. (6800N),WASHTENAW AVE,HOWARD ST,PRATT BLVD
181,W. Arthur Ave. (6500N),N. Kedzie Ave. (3200W),N. Western Ave. (2400W),ARTHUR AVE,KEDZIE AVE,WESTERN AVE
182,W. Wabansia Ave. (1700N),N. Francisco Ave. (2900W),N. Honore St. (1828W),WABANSIA AVE,FRANCISCO AVE,HONORE ST
183,W. Albion Ave. (6600N),N. Glenwood Ave. (1400W),N. Clark St. (100W),ALBION AVE,GLENWOOD AVE,CLARK ST
184,W. Granville Ave. (6200N),N. Kedzie Ave. (3200W),N. Campbell Ave. (2500W),GRANVILLE AVE,KEDZIE AVE,CAMPBELL AVE
185,S. Indiana Ave. (200E),E. 117th St. (11700S),E. Dead End (13000S),INDIANA AVE,117TH ST,130TH ST
186,W. Thorndale Ave. (5900N),N. California Ave. (2800W),N. Western Ave. (2400W),THORNDALE AVE,CALIFORNIA AVE,WESTERN AVE
187,W. Ainslie St. (4900N),N. Western Ave. (2400W),N. Wolcott Ave. (1900W),AINSLIE ST,WESTERN AVE,WOLCOTT AVE
188,N. Mayfield Ave. (5900W),W. Augusta Blvd. (1000N),W. Lake St. (200N),MAYFIELD AVE,AUGUSTA BLVD,LAKE ST
189,S. Francisco Ave. (2900W),W. Harrison St. (600S),W. Roosevelt Rd. (1200S),FRANCISCO AVE,HARRISON ST,ROOSEVELT RD
190,W. Lexington St. (728S),S. Cicero Ave. (4800W),S. Kostner Ave. (4400W),LEXINGTON ST,CICERO AVE,KOSTNER AVE
191,S. Rockwell St. (2600W),W. Ogden Ave. (1544W),W. 18th St. (1800S),ROCKWELL ST,OGDEN AVE,18TH ST
192,S. Union Ave. (700W),W. 14th St. (1400S),W. Canalport Ave. (2000S),UNION AVE,14TH ST,CANALPORT AVE
193,N. Rockwell St. (2600W),W. Division St. (1200N),W. Grand Ave. (500N),ROCKWELL ST,DIVISION ST,GRAND AVE
194,N. Pine Ave. (5500W),W. Potomac Ave. (1300N),W. Potomac Ave. (1300N),PINE AVE,POTOMAC AVE,POTOMAC AVE
195,W. 15th st (1500S),S. Keeler Ave. (4200W),S. Christiana Ave. (3332W),15TH ST,KEELER AVE,CHRISTIANA AVE
